,aamgnrc1,amenities,area,bd,bldgid,boro,brokerage,brokerfee,city,cnty,env,hood,listtp,oh,park,pis,prange,price,proptp,sqft,sqftrange,state,tflag,vers,yrblt,zip
0,666 Greenwich St,"['deck', 'roofdeck', 'gym', 'laundry', 'storage_room', 'live_in_super', 'dishwasher', 'doorman', 'pets', 'elevator', 'washer_dryer', 'nyc_evacuation_4']",downtown,0,9291,manhattan,rockrose,no,new_york,new_york,prod,west_village,rent_condos,yes,,1,6000-6999,6695,cnd,978,750-999,ny,,web_hdp_2_5_december_2017_control,pre1900,10014
1,235 West 75th Street,"['doorman', 'bike_room', 'gym', 'pets', 'laundry', 'elevator', 'live_in_super', 'fios_available', 'guarantors', 'concierge', 'smoke_free', 'package_room', 'full_time_doorman', 'central_ac', 'washer_dryer', 'dishwasher', 'pied_a_terre', 'guarantor_ok', 'board_approval_required']",uws,1,19839,manhattan,warburg,yes,new_york,new_york,prod,manhattan_valley,rent_condos,yes,,3,5000-5999,5000,cnd,,,ny,verizon_giga,web_hdp_2_5_december_2017_control,2010-2019,10023
2,45-25 41 Street,"['cats', 'live_in_super', 'fios_available']",,0,414737,queens,realtegrity_ny_llc,yes,queens,queens,prod,sunnyside_queens,rent_multi,,,5,1500-1749,1650,mfh,,,ny,,web_hdp_2_5_december_2017_control,1920-1939,11104
3,30 Park Place,"['pool', 'gym', 'childrens_playroom', 'nyc_evacuation_5', 'doorman', 'elevator', 'media_room', 'concierge', 'fios_available', 'recreation_facilities', 'laundry', 'leed_registered', 'live_in_super', 'package_room', 'full_time_doorman', 'central_ac', 'washer_dryer', 'dishwasher', 'loft', 'pied_a_terre', 'waterview', 'balcony', 'courtyard', 'terrace', 'deck', 'cold_storage']",downtown,2,644,manhattan,welcome_home_uws,yes,new_york,new_york,prod,tribeca,rent_condos,,,7,10000_and_up,14500,cnd,1538,1500-1749,ny,verizon_giga,web_hdp_2_5_december_2017_control,2010-2019,10007
4,529 West 152 Street,,upper,0,41080,manhattan,highline_residential,yes,new_york,new_york,prod,hamilton_heights,rent_condos,,,9,1500-1749,1700,cnd,510,500-749,ny,,web_hdp_2_5_december_2017_control,1900-1919,10031
5,590 Marcy Ave,"['nyc_evacuation_6', 'pets', 'dogs', 'central_ac', 'dishwasher', 'guarantor_ok', 'courtyard', 'garden']",,4,101021,brooklyn,spot_it_realty_llc,no,brooklyn,kings,prod,ocean_hill,rent_condos,yes,,11,3000-3499,3299,cnd,1200,1000-1249,ny,,web_hdp_2_5_december_2017_control,pre1900,11206
6,25 Mcguiness Blvd,"['nyc_evacuation_4', 'fios_available', 'pets', 'furnished', 'garden']",,1,122628,brooklyn,bridge_belvedere_builders_realty,yes,brooklyn,kings,prod,greenpoint,rent_multi,,,13,2500-2999,2900,mfh,,,ny,verizon_giga,web_hdp_2_5_december_2017_control,1970-1979,11222
7,461 Quincy Street,"['pets', 'dogs', 'dishwasher', 'guarantor_ok', 'courtyard', 'garden']",,4,103595,brooklyn,spot_it_realty_llc,no,brooklyn,kings,prod,stuyvesant_heights,rent_condos,yes,,15,3000-3499,3299,cnd,2000,2000-2499,ny,,web_hdp_2_5_december_2017_control,pre1900,11221
8,2049 East 17th St,"['nyc_evacuation_4', 'washer_dryer']",,2,267792,brooklyn,real_time_usa,no,brooklyn,kings,prod,homecrest,rent_general,,,17,1750-1999,1850,,,,ny,,web_hdp_2_5_december_2017_control,1920-1939,11229
9,3765 18th Ave,"['fios_available', 'laundry', 'guarantor_ok']",,2,194211,brooklyn,real_time_usa,no,brooklyn,kings,prod,kensington,rent_general,,,19,1750-1999,1799,,,,ny,,web_hdp_2_5_december_2017_control,1920-1939,11218
10,508 W. 112th Street,"['live_in_super', 'cats', 'guarantors', 'laundry', 'virtual_doorman', 'dishwasher', 'guarantor_ok']",upper,2,35400,manhattan,yorgan_group_llc,yes,new_york,new_york,prod,morningside,rent_general,yes,,21,3500-3999,3850,,,,ny,,web_hdp_2_5_december_2017_control,1900-1919,10025
11,5 Beekman Place,"['terrace', 'gym', 'storage_room', 'pets', 'nyc_evacuation_4', 'fios_available']",midtown-all,2,23801,manhattan,coleman_real_estate_group,yes,new_york,new_york,prod,beekman,rent_coops,,,23,10000_and_up,10000,cop,,,ny,,web_hdp_2_5_december_2017_control,1900-1919,10022
12,452 Harman Street,"['fios_available', 'recreation_facilities', 'laundry', 'virtual_doorman', 'central_ac', 'dishwasher', 'furnished', 'guarantor_ok', 'patio', 'roofdeck', 'courtyard', 'garden']",,1,133519,brooklyn,tapiro_realty,no,brooklyn,kings,prod,bushwick,rent_general,yes,,25,2500-2999,2800,,,,ny,verizon_giga,web_hdp_2_5_december_2017_control,1900-1919,11237
13,277 Fifth Avenue,"['dishwasher', 'washer_dryer', 'terrace', 'storage', 'doorman', 'elevator', 'gym', 'childrens_playroom', 'concierge', 'roofdeck']",downtown,1,14482,manhattan,elliman,yes,new_york,new_york,prod,nomad,rent_condos,yes,,27,6000-6999,6850,cnd,848,750-999,ny,verizon_giga,web_hdp_2_5_december_2017_control,2010-2019,10016
14,411 West 35th Street,"['dishwasher', 'washer_dryer', 'roofdeck', 'full_time_doorman', 'gym', 'bike_room', 'parking', 'garage', 'patio', 'doorman', 'concierge']",midtown-all,0,11414,manhattan,rose,no,new_york,new_york,prod,hudson_yards,rent_general,,true,29,3500-3999,3603,,,,ny,,web_hdp_2_5_december_2017_control,2010-2019,10001
15,60-11 Myrtle Avenue,"['bike_room', 'dogs', 'guarantors', 'gym', 'laundry', 'pets', 'recreation_facilities', 'storage_room', 'fios_available', 'virtual_doorman', 'central_ac', 'dishwasher', 'storage', 'guarantor_ok', 'roofdeck']",,3,499175,queens,brooklyn_high_rise_llc,no,queens,queens,prod,ridgewood,rent_general,,,31,3000-3499,3400,,0,0-499,ny,,web_hdp_2_5_december_2017_control,1920-1939,11385
